기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1977	서울특별시	합계	합계	2,893,403	2,678,007	2,212,213	…	…	…	681,190	465,794	215,396
1977	서울특별시	합계	남자	1,506,891	1,413,580	1,148,317	…	…	…	358,574	265,263	93,311
1977	서울특별시	합계	여자	1,386,512	1,264,427	1,063,896	…	…	…	322,616	200,531	122,085
1977	서울특별시	1월	합계	160,761	146,223	115,901	…	…	…	44,860	30,322	14,538
1977	서울특별시	1월	남자	84,165	78,008	60,433	…	…	…	23,732	17,575	6,157
1977	서울특별시	1월	여자	76,596	68,215	55,468	…	…	…	21,128	12,747	8,381
1977	서울특별시	2월	합계	156,624	141,554	109,606	…	…	…	47,018	31,948	15,070
1977	서울특별시	2월	남자	81,656	74,756	56,958	…	…	…	24,698	17,798	6,900
1977	서울특별시	2월	여자	74,968	66,798	52,648	…	…	…	22,320	14,150	8,170
1977	서울특별시	3월	합계	209,165	188,791	143,358	…	…	…	65,807	45,433	20,374
1977	서울특별시	3월	남자	112,777	103,226	76,728	…	…	…	36,049	26,498	9,551
1977	서울특별시	3월	여자	96,388	85,565	66,630	…	…	…	29,758	18,935	10,823
1977	서울특별시	4월	합계	279,362	255,036	206,937	…	…	…	72,425	48,099	24,326
1977	서울특별시	4월	남자	147,336	136,559	109,062	…	…	…	38,274	27,497	10,777
